Сизни давет этелер;Вас приглашают
Мен сизни ойнамагъа давет этем;Я вас приглашаю танцевать
Келинъиз, бу акъшам берабер олайыкъ;Давайте этот вечер проведем вместе
Айдынъыз, денъизге барып, тазе аванен нефес алайыкъ;Пойдёмте к морю подышать свежым воздухом
Сизни тойгъа давет этем;Приглашаю вас на свадьбу
Сизни догъгъан куньге давет этем;Приглашаю вас на день рождения
Сиз даветнаме алдынъызмы?;Вы получили приглашение?
Эбет, алдым, дикъкъатынъыз ичюн тешеккюр;Да, получил, тронут вашим вниманием
Даа келинъиз;Приезжайте еще
Визге де келинъиз;Приезжайте и к нам
Келеджек язда къорантанъызнен келинъиз;Приезжайте семьей к следующее лето
Келеджек язда аиленъизнен келинъиз;Приезжайте семьей к следующее лето
Келеджек сене сизни озюмизде беклеймиз;Мы ждём вас, к себе в будущем году
Юринъиз бизнен;Пойдемте с нами
Афу сорав, языкъсынув, гонъюльдешлик бильдирюв;Извинение, сожаление, сочувствие
Афу этинъиз;Извините
Багъышланъыз;Простите
Афу этинъиз;Простите
Багъышланъыз, сизни раатсызлайджагъым;Разрешите побеспокоить вас
Зарары ёкъ;Пожалуйста, ничего
Зарары ёкъ, къулакъ асманъыз;Ничего, не обращайте внимания
Бу, сизнинъ къабаатынъыз дегиль;Это не ваша вина
Бу, меним къабаатым дегиль;Это не моя вина
Бу, онынъ къабааты дегиль;Это не его вина
Онъа ярдым этип оламайджагъыма языкъсынам;Сожалею что не могу ему помочь
Багъышланъыз мен янъылдым;Извините, я ошибся
Афу этинъиз мен янъылдым;Извините, я ошибся
Багъышланъыз мен янъылдым;Извините, я ошиблась
Афу этинъиз мен янъылдым;Извините, я ошиблась
Багъышланъыз;Прошу прощения
Мен сизге кедер этмейимми?;Я вам не мешаю?
Бойле олып чыкъкъаны пек аджыныкълы;Очень жаль, что так получилось
Эмир алла, башынъыз сагъ олсун;Выражение сочувствия по поводу кончины кого-либо
Достлар сагъ олсун;Ответ того, кому обращено сочувствие
Мен сизге терен гонъюльдешлик бильдирем;Я вам очень сочувствую
Яныкълы хабер;Печальное известие
Къайгъылы хабер;Печальное известие
Яныкъланманъыз;Не надо вам печалиться
Янманъыз;Не надо вам печалиться
Риджа, истек;Просьба, пожелание
Риджа этем;Прошу тебя
Мен бармакъ истейим;Я хочу идти
Мен отурмакъ истейим;Я хочу сесть
Мен раатланмакъ истейим;Я хочу отдохнуть
Мен юкъламакъ истейим;Я хочу спать
Юкъум келе;Спать хочется
Къапыны ачынъыз;Откройте двери
Пенджерени ачынъыз;Откройте окно
Пенджерени орьтсенъиз;Закройте окно
Къапыны орьтсенъиз;Закройте дверь
Риджа этем, асанов аркъадашны мында чагъырсанъыз;Позовите, пожалуйста, сюда товарища асанова
Мен базаргъа бармакъ истейим;Я хочу пойти на базар
Мен киногъа бармакъ истейим;Я хочу пойти в кино
Мен музейге бармакъ истейим;Я хочу пойти в музей
Мен театрге бармакъ истейим;Я хочу пойти в театр
Мен айванат багъчасына бармакъ истейим;Я хочу пойти в зоопарк
Мен циркке бармакъ истейим;Я хочу пойти в цирк
Мен клубгъа бармакъ истейим;Я хочу пойти в клуб
Мен раатлыкъ багъчасына бармакъ истейим;Я хочу пойти в парк
Мен кезинмек истейим;Мне хотелось бы прогуляться
Риджа этем, айтсанъыз;Скажите, пожалуйста
Косьтерип оламазсынъызмы?;Не смогли бы показать?
Сизки динълейим;Я слушаю вас
Сизинъ хызметинъизге азырым;Я к вашим услугам
Асанов аркъадашны корьмек мум кюнми?;Можно ли видеть товарища асанова?
Азачыкъ бекленъиз;Подождите, пожалуйста, немного
Мени бекленъиз;Подождите меня
Мени беклеменъиз;Меня не ждите
Риджа этем, ашыкъынъыз;Поторопитесь, пожалуйста
Риджа этем, текрарласанъыз;Повторите, пожалуйста
Риджа этем, бу мектюпни ёлласанъыз;Отправьте, пожалуйста, это письмо
Кирмек мумкюнми?;Можно войти?
Кирмеге рухсет этинъиз?;Можно войти?
Кирмек мумкюнми?;Разрешите войти?
Кирмеге рухсет этинъиз?;Разрешите войти?
Риджа этем, кечмеге рухсет этсенъиз;Разрешите, пожалуйста, пройти
Риджа этем, къаттыджа лаф этсенъиз;Пожалуйста, говорите погромче
Риджа этем, сакиндже лаф этсенъиз;Пожалуйста, говорите потише
Риджа этем, яваш лаф этсенъиз;Пожалуйста, говорите потише
Риджа этем, тафсилятлыджа икяе этеенъиз;Расскажите, пожалуйста, более подробно
Мен ашамакъ истейим;Я хочу есть
Мен ичмек истейим;Я хочу пить
Меним къарным ачты;Я проголодался
Меним къарным ач;Я голодный
Сагълыкънен къал!;До свидания!
Сагълыкънен бар!;Ответ
Сагълыкънен барынъыз!;Ответ
Гедженъиз хайыр!;Спокойной ночи!
Хайыргъа къаршы!;Ответ
Кене корюшкендже!;До новых встреч!
Баргъанынъызнен мектюп язынъыз;Пишите по приезду
Баргъанынъызнен телеграмма беринъиз;Телеграфируйте по приезду
Баргъанынъызнен чанъ къакъынъыз;Звоните по приезду
Даа да келинъиз!;Еще приезжайте!
Даа да келинъиз!;Еще приходите!
Унутмазсынъызмы?;Не забудете?
Ёкъ, унутмам;Нет, не забуду
Бизден ге селям айтынъыз;Передайте от нас привет
Бизден гъа селям айтынъыз;Передайте от нас привет
Тешеккюр! Ярдымынъыз ичюн тешеккюр;Благодарю! Благодарю за помощь
Тешеккюр! Ярдымынъыз ичюн сагъ олунъыз;Благодарю! Благодарю за помощь
Тешеккюр! Ярдымынъыз ичюн тешеккюр;Благодарю! Спасибо за помощь
Тешеккюр! Ярдымынъыз ичюн сагъ олунъыз;Благодарю! Спасибо за помощь
Давет эткенинъиз ичюн сизге тешеккюр;Благодарю вас за приглашение
Давет чагъыргъанынъыз ичюн сизге тешеккюр;Благодарю вас за приглашение
Эйилигинъиз ичюн сагъ тешеккюр!;Спасибо, вы очень добры!
Сизнинъ огюнъизде пек буюк борджым бар;Я вам очень обязан
Сизнинъ огюнъизде пек буюк борджым бар;Я вам очень обязана
Сагъ олунъыз, сиз манъа пек чокъ шей яптынъыз;Спасибо, вы так много сделали для меня
Бахшыш ичюн сагъ ол!;Спасибо за подарок!
Бахшыш ичюн сагъ олунъыз!;Спасибо за подарок!
Сизни раатсызлагъанымыз ичюн багъышланъыз;Извините, что мы вас побеспокоили
Балаларынъыз пек тербиели экенлер;Какие воспитанные дети!
Къадынынъыз пек яхшы экен!;Какая хорошая жена!
Апайынъыз пек яхшы экен!;Какая хорошая жена!
Омюр аркъадашынъыз пек мераметли экен!;Какой у вас заботливый супруг!
Акъайынъыз пек мераметли экен!;Какой у вас заботливый муж!
Сизнинъ улькенъизде хош кечирген куньлерни биз унутмамыз;Мы не забудем приятных дней, проведенных в вашем крае
Сизнен хош кечирген куньлерни биз унутмамыз;Мы не забудем приятных дней, проведенных с вами
Дикъкъатынъыз ичюн тешеккюр!;Спасибо за внимание!
Мен;Я
Ады ве фамилиясы;Имя и фамилия
Сизинъ фамилиянъыз не?;Как ваша фамилия?
Сизинъ адынъыз не?;Как вас зовут?
Сизнен таныш олгъанымдан гъает мемнюним;Очень рад с вами познакомиться
Сизни ёлдашымнен таныштырмагъа мусааде этинъиз;Разрешите представить вам моего спутника
Сизни омюр аркъадашымнен таныштырмагъа мусааде этинъиз;Разрешите представить вам мою супругу
Сизни ишдешимнен таныштырмагъа мусааде этинъиз;Разрешите представить вам моего коллегу
Сизни къардашымнен таныштырмагъа мусааде этинъиз;Разрешите представить вам моего брата
Сизни аптемнен таныштырмагъа мусааде этинъиз;Разрешите представить вам мою сестру
Риджа этем, мени таныш этсенъиз;Познакомьте меня, пожалуйста
Джангонъюльден;С великим удовольствием
Мен мында биринджи кере келем;Я здесь первый раз
Мен мында экинджи кере келем;Я здесь второй раз
Мен мында учюнджи кере келем;Я здесь третий раз
Мен бу ерлерде олмакъны чокътан арз эте эдим;Я давно мечтал побывать здесь
Меним арзым омюрге кечти;Моя мечта сбылась
Меним арзым амельге кечти;Моя мечта сбылась
Яшы;Возраст
Мен яшындам;Мне лет
Сиз анги сенеси догъдынъыз?;В каком году вы родились?
Мен сенеси догъдым;Я родился в году
Мен сенеси догъдым;Я родилась в году
Сиз пек яш корюнесинъиз;Вы очень молодо выглядете
Виз сизнен яшдаш экенмиз;Мы с вами ровесники
Якъында о яшыны толдураджакъ;Ему скоро исполниться
Ярын онынъ догъгъан куню;Завтра день его рождения
Огълынъыз къач яшында?;Сколько лет вашему сыну?
Сиз эвлисинъиз ми?;Вы женаты?
Сиз эвлисинъиз ми?;Вы замужем?
Мен эвлим;Я женат
Мен эвлим;Я замужем
Балаларынъыз бармы?;У вас есть дети?
Меним учь балам: эки огълум ве бир къызым бар;У меня трое детей: два сына и дочь
Сизинъ къорантанъыз буюкми?;У вас большая семья?
Сизинъ къач баланъыз бар?;Сколько у вас детей?
Сизинъ ана-бабанъыз сагълармы?;Живы ли ваши родители?
Къыз къардаш;Сестра
Апте-къардашлар;Сестры
Къызым;Дочь
Огълан бала;Мальчик
Тонгъуч бала;Первенец
Кендже бала;Последний ребенок
Осьмюр;Юноша
Иигит;Молодой человек
Орта яшлы адам;Человек средних лет
Къарт адам;Пожилой человек
Ихтияр адам;Пожилой человек
Агъа-къардашларынъыз бармы?;У вас есть братья?
Ана-бабанъыз бармы?;У вас есть родители?
Э, бабам юзюмджи, анам исе эв бикеси;Да, мой отец виноградарь, а мать домохозяйка
Торун;Племянник
Торун;Племянница
Нышанлы;Невестка
Къайната;Свёкр
Аиле азалары;Члены семьи
Огей баба;Отчим
Огей ана;Мачеха
Джарие;Подруга
Эдепсиз;Невоспитанный
Тербиесиз;Невоспитанный
Ялан;Ложь
Яланджы;Врун
Ялтакъланмакъ;Подхалимничать
Ялтакъ;Подхалим
Яшдаш;Ровесник
Акърандаш;Ровесник
Ачкозь;Жадный
Ят;Чужой
Ябанджы;Чужой
Ашшалав;Унижать
Акъаретлев;Унижать
Ашшаланмакъ;Унижаться
Акъаретленм'ек;Унижаться
Севги;Любовь
Севдалыкъ;Влюблённость
Ашыкълыкъ;Влюблённость
Ёлдаш;Спутник
Байгъуш;Бедняга
Бичаре;Бедняга
Геджелемек;Ночевать
Къонмакъ;Ночевать
Сёйлешюв;Разговор
Сизинъ ана тилинъиз насыл тиль?;Ваш родной язык?
Мен кърымтатар тилинде лаф этем;Я говорю на крымскотатарском языке
Мен тек украин тилинде лаф этем;Я говорю только по-украински
Мен кърымтатар тилини бегенем;Мне нравится крымскотатарский язык
Мен кърымтатар тилини севем;Мне нравится крымскотатарский язык
Мен кърымтатарджа лаф этмеге огренмек истейим;Я хочу научиться говорить по-крымскотатарски
Мен кърымтатарджа лаф окъумагъа огренмек истейим;Я хочу научиться читать по-крымскотатарски
Мен кърымтатарджа лаф язмагъа огренмек истейим;Я хочу научиться писать по-крымскотатарски
Озюнънинъ тувгъан тилинъни севмек керек;Надо любить свой родной язык
Озюнънинъ ана тилинъни севмек керек;Надо любить свой родной язык
Мен бу тильде бираз окъуйым;Я немного читаю на этом языке
Мен бу тильде сербест окъуйым;Я свободно читаю на этом языке
Мен бу тильде лугъат ярдымынен окъуйым;Я со словарём читаю на этом языке
О, кърымтатар тилини бильмей;Он не знает крымскотатарского языка
О кърымтатар тилини яхшы биле;Она хорошо владеет крымскотатарским
Виз бу тильни огренемиз;Мы изучаем этот язык
Деген сёз кърымтатарджа насыл айтыла?;Как будет по-крымскотатарски слово?
Деген сёз русча насыл айтыла?;Как будет по-русски слово?
Мен кърымтатарджа тек анълайым, амма лаф этип оламайым;Я только понимаю по крымскота тарски, а говорить не могу
Анълатмакъ;Объяснить
Окъутмакъ;Учить
Мешгъулиет;Упражнение
Джумле;Предложение
Аталар сёзю;Пословица
Тильшнаслыкъ;Языкознание
Бу ким?;Кто это?
Не?;Что?
Манъа анълашыла;Мне понятно
Бу ерде кърымтатар тилини ким биле?;Кто здесь знает крымскотатарский язык?
Бу ерде рус тилини ким биле?;Кто здесь знает русский язык?
Бу ерде украин тилини ким биле?;Кто здесь знает украинский язык?
Сиз анги тиллерни билесинъиз?;Какими языками вы владеете?
Мен эписини анъладым;Я все понял
Бу сёз русча насыл языла?;Как пишется это слово по-русски?
Бу сёз кърымтатарджа насыл языла?;Как пишется это слово по крымскотатарски?
Риджа этем, бир кере даа текрарласанъыз;Повторите, пожалуйста, еще раз
Риджа этем, терджиме этсенъиз, бу ерде не деп язылгъан?;Переведите, пожалуйста, что здесь написано?
Меним сёзлеримни терджиме этинъиз;Переведите мои слова
Бизге терджиман керек дегиль;Нам не нужен переводчик
Бу группагъа терджиман керек дегиль;Этой группе переводчик не нужен
Русча-кърымтатарджа лугъатны къайдан тапып алмакъ мумкюн?;Где можно достать русско-крымскотатарский словарь?
Бу кягъыткъа язынъыз;Напишите на этом листке
Э!;Да!
Эбет!;Да!
Мен догъру телеффюз этемми?;Правильно ли я произношу?
Сиз пек яхшы лафетесинъиз;Вы прекрасно говорите
Сиз къабартасынъыз;Вы преувеличиваете
Сизинъ миллетинъиз ким?;Вы кто по национальности?
Мен кърымтатарым;Я крымский татарин
Сиз украинсинъизми?;Вы украинец?
Э, о украин;Да, он украинец
Олар узбеклер;Они узбеки
Бу аркъадашлар исе эрменилер;А эти товарищи – армяне
Занымджа, сен къыргъызсынъ;Я думаю, ты киргиз
Меним аркъадашым – латыш;Мой товарищ – латыш
Бизим республикамызда чешит миллетлернинъ векиллери яшайлар;В нашей республике живут представители разных национальностей
Насыл?;Как?
Насыл этип?;Каким образом?
Къайда? не ерде? къаерде?;Где?
Къайда? къаерге? не ерге?;Куда?
Ким?;Кто?
Не къадар къач дане?;Сколько штук?
Не къадар кило?;Сколько кило?
Не къадар метра?;Сколько метров?
Багъыравукъ;Крикун
Къычыравукъ;Крикун
Ватандаш;Соотечественник
Семетдеш;Земляк
Койдеш;Земляк
Виляет;Провинция
Гъурбетлик;Чужбина
Элифбе;Букварь
Зенджи;Негр
Лагъап;Псевдоним
Лагъап;Кличка
Пысылдашмакъ;Шушукаться
Сагъыр;Глухой
Тилли;Языкастый
Тильбаз;Языкастый
Разылашув;Согласие
Разылашмаюв;Несогласие
Мен разым;Я согласен
Мен разым;Я согласна
Ола биле;Возможно
Ола мумкюн;Возможно
Мен япа билем;Я могу
Эбет;Конечно
Мытлакъ;Обязательно
Яхшы;Ладно
Яхшы;Хорошо
Эйи;Хорошо
Джанымнен;С удовольствием
Мемнюнликнен;С удовольствием
Сизинъ теклифинъиз мени къанаатлендирмей;Ваше предложение меня не устраивает
Эбет;Разумеется
Мен бунъа эминим;Я уверен в этом
Мен истейим;Я хочу
Мен истемейим;Я не хочу
Бу мумкюн дегиль;Это невозможно
Теэссюф ки, мумкюн дегиль;К сожалению, нельзя
Алып оламайым;Не могу взять
Багъышламакъ;Простить
Сизинъ зенаатынъыз не?;Какая у вас профессия?
Озь зенаатынъны севмек керек;Профессию свою надо любить
Къолы алтын кесе!;Мастер на все руки!
Мен мимарым;Я архитектор
О, эким;Он врач
О, дая;Она акушерка
Мен эв бикесим;Я домашняя хозяйка
Сиз ташчысынъызмы?;Вы каменщик?
Олар – мухбирлер;Они – корреспонденты
Мен койлюм;Я крестьянин
Меним бабам демирджи;Мой отец – кузнец
О чалгъыджы;Он – музыкант
О кеманеджи;Он – скрипач
Фикрет дагъджы;Фикрет – лесник
Онынъ агъасы исе дегирменджи;А его брат – мельник
Мен балыкъчым;Я – рыбак
О табиатшнас;Он естествовед
О яхшы бербер;Он хороший парикмахер
Алим ирих ил 86 ава гемисининъ командири;Алим ирих командир корабля ил 86
Авджы;Охотник
Мен языджылар союзынынъ азасым;Я член союза писателей
Мен журналистлер союзынынъ азасым;Я член союза журналистов
О дюльгер;Он плотник
О тикиджи;Она портниха
Мен ишчим;Я рабочий
Мен исе шегиртим;А я ученик
Эльчи;Посол
Къасап;Мясник
Одаман;Старший чабан
Потюкчи, аякъкъапчы;Сапожник
Хадим;Сотрудник
Чиленгир;Слесарь
Мен кърымтатар тили оджапчесим;Я учительница крымскотатарского языка
Меним. акъайым рессам;Мой муж художник
Онынъ агъасы саат устасы;Его брат часавщик
Онынъ озю оджа;Сам он преподаватель
Токъуйыджы;Ткачиха
Йип чийратыджы;Прядильщица
Басманы орьнеклейиджи;Отделочница
Сиз къайда чалышасынъыз?;Вы где работаете?
Мен фурунда чалышам;Я работаю в пекарне
Биз колхоз фермасында чалышамыз;Мы работаем на колхозной ферме
О, сагъыджы;Она доярка
Сиз озюнъиз не иш япасынъыз?;Нем вы сами работаете?
Медицина хызмети;Медицинское обслуживание
Мен озюмни ярамай ис этем;Я плохо себя чувствую
Риджа этем, экимни чагъырсанъыз;Вызовите, пожалуйста врача
Доктор, мен ярамайым;Доктор, мне плохо
Мен сувукъландым;Я простудилась
Меним юрегим агъыра;У меня болит сердце
Меним къара джигерим агъыра;У меня болит печень
Мына бу ерим санча;Вот здесь колет
Сизинъ сыджагъынъыз бар;У вас температура
Мен оксюрем;У меня кашель
О, юкълап оламай;У него бессонница
Башым айлана;Кружится голова
Этим пертильди;Я вывихнул руку
Меним ичим бозулды;У меня расстройство желудка
Онъа аджеле ярдым керек;Ему нужна неотложная помощь
Хаста адам;Больной
Хастахане;Вольница
Илядж;Лекарство
Тедавийлев;Лечение
Девалав;Лечение
Аптека;Аптека
Иляджхане;Аптека
Не еринъиз агъыра?;На что жалуетесь?
Агъызынъызны ачынъыз;Откройте рот
Багъышланъыз, набызынъызны тутып бакъайым;Разрешите пощупать пульс
Нефес алманъыз;Не дышите
Ятынъыз;Прилягте
Еринъизден турынъыз;Встаньте
Сиз козь экимине мураджаат этмек керексинъиз;Вам нужно обратиться к окулисту
Манъа иш ичюн козьлюк керек;Мне нужны очки для работы
Къадимий медицина;Древняя медицина
Эким не вакъыт келеджек?;Когда придёт врач?
Сыджагъынъызны бир кере даа ольчемек керек;Нужно измерить температуру еще раз
Къан басымынъызны ольчемек керек;Нужно измерить кровяное давление
Иштаанъыз насыл?;Какой у вас аппетит?
Меним ич де иштаам ёкъ;У меня совершенно нет аппетита
Мени хастаханеге ерлештирменъизни риджа этем;Я прошу поместить меня в больницу
Манъа не ашамакъ мумкюн?;Что мне можно есть?
Манъа не ашамакъ олмай?;Чего мне нельзя есть?
Сизге тёшектен турмакъ олмай;Вам не следует вставать с постели
Тишлерим агъыра манъа тишимни чыкъартмакъ керек;У меня болят зубы мне нужно удалить зуб
Манъа тиш къойдырмакъ керек;Мне нужно вставить зуб
Сизге язда денъиз ялысында раатланмакъ керек;Вам надо летом отдыхать у моря
Аджеле медицина ярдымы;Скорая медицинская помощь
Наркоз;Наркоз
Шишик;Опухоль
Яраны байламакъ;Перевязка
Айтсанъыз, мында энъ якъын аптека къайда?;Скажите, пожалуйста, где здесь ближайшая аптека?
Бу иляджны рецепсиз алмакъ мумкюнми?;Можно ли получить это лекарство без рецепта?
Илядж не вакъыт азыр оладжакъ?;Когда будет готово лекарство?
Сизде «айвазовский» минераль суву бармы?;Есть ли у вас минеральная вода «айвазовский»?
Какие лечебницы есть в крыму?;Кърымда насыл тедавийханелер бар?
Сизинъ республикада насыл курортлар бар?;Какие курорты имеются у вас в республике?
Бу курортта насыл хасталыкъларны тедавийлейлер?;Какие болезни лечат на этом курорте?
Сизинъ курортынъызда балчыкънен тедавийлейлерми?;Имеется ли на вашем курорте грязолечение?
Мында кимлер раатланалар?;Кто здесь отдыхает?
Солгъун;Вялый
Топал;Хромой
Топалламакъ;Хромать
Ченъе;Челюсть
Къылый;Косой
Агъыраякълы, юклю;Беременная
Сытма;Малярия
Джигер;Печень
Буйрек;Почка
Берем;Туберкулёз
Берч;Мозоль
Берчли;Мозолистый
Ава, вакъыт;Погода, время
Бугунь ава яхшы;Сегодня хорошая погода
Бугунь ава ярамай;Сегодня плохая погода
Бугунь ава ачыкъ;Сегодня солнечно
Бугунь ава булутлы;Сегодня пасмурно
Бугунь ава салкъын;Сегодня прохладно
Тюневин ава джыллы эди;Вчера было тепло
Тюневин ава сыджакъ эди;Вчера было жарко
Бугунь сувукъ;Сегодня холодно
Бугунь ава дым;Сегодня сыро
Авасы ойле тынчыкъ ки, нефес алмакъ биле къыйын;Так душно, что дышать трудно
Кучьлю рузгяр;Порывистый ветер
Ярын ава насыл оладжакъ?;Какая будет завтра погода?
Ярын ава ачыкъ оладжакъ;Завтра будет ясная погода
Ава денъишип тура;Погода неустойчиво
Ягъмур ягъа;Идеть дождь
Къар ягъа;Идеть снег
Бугунь аванынъ арарети къач дередже?;Какая сегодня температура?
Аванынъ дымлыгъы докъсан проценткедже бара;Влажность воздуха доходит до девяносто процентов
Бугунь йигирми дередже сыджакъ;Сегодня 20 градусов тепла
Тюневин кок гудюрдеди;Вчера была гроза
Мен сыджакъкъа даянамайым;Я плохо переношу жару
Мен сувукъкъа даянамайым;Я плохо переношу холод
Дагъларда туман;В горах туман
Дагъларда пус;В горах туман
Эрте баарь;Раняя весна
Ель;Ветер
Рузгяр;Ветер
Бурчакъ;Град
Сыджакъ;Жара
Къар ягъа;Снег идет
Къар;Снег
Ягъмур ягъа;Дождь идет
Икълим;Климат
Ава;Климат
Вуз;Лёд
Рузгяр;Метель
Шемшен;Молния
Аяз;Мороз
Кок;Небо
Булут;Облако
Булутлы;Пасмурно
Кунеш;Солнце
Иримек;Таять
Джыллы;Тепло
Туман;Туман
Пус;Туман
Сувукъ;Холод
Ачыкъ;Ясно
Ягъын;Осадки
Боран;Буря
Боран;Пурга
Былтыр;Прошлый год
Кечкен сене;Прошлый год
Былтыр;В прошлом году
Кечкен сенеде;В прошлом году
О бириси йыл;В позапрошлом году
Бу сене;В этом году
Келеджек сене;В будущем году
Келеджек йылда;В будущем году
Замет де олса айтсанъыз, саат къач?;Скажите, пожалуйста, который час?
Саат къач?;Сколько времени?
Секизден беш дакъкъа кече;Пять минут девятого
Aкъшам саат докъузда;В девять часов вечера
Гедже саат учьке якъын;Около трёх часов ночи
Кундюз саат учьке якъын;Около трёх часов дня
Саат тамам еди;Ровно семь часов
Еди бучукъ;Половина восьмого
Он экиге беш дакъкъа бар;Вез пяти двенадцать
Деръал;Немедленно
Вир сааттен;Через час
Шимди мааллий вакъытнен саат он учь;Сейчас тринадцать часов местного времени
Саатнинъ елькъуваны;Минутная стрелка часов
Меним саатим учь дакъкъа артта къала;Мои часы отстают на три минуты
Меним саатим учь дакъкъа кериде къала;Мои часы отстают на три минуты
Меним саатим токътагъан;Мои часы остановились
Сизинъ саатинъиз эки дакъкъа огде кете;Ваши часы спешать на две минуты
Сизинъ саатинъиз беш дакъкъа артта къала;Ваши часы отстают на пять минут
Меним саатим догъру;Мои часы идут точно
Мен саатимни къурмагъа унуткъаным;Я забыл завести часы
Меним саатим бозулды;Мои часы сломались
Саат устасыны къайдан тапмакъ мумкюн?;Где можно найти часового мастера?
Не вакъыт азыр оладжакъ?;Когда будут готовы?
Танъда;На рассвете
Даа эрте;Еще рано
Энди кеч;Уже поздно
Тамам вакъытында;Вовремя
Кундюз;Днём
Эр кунь, куньде;Ежедневно, каждый день
Уйлелик;Обед
Уйлелик аш;Обед
Сабалыкъ;Завтрак
Сабалыкъ аш;Завтрак
Уйле маали;Полдень
Уйледе;В полдень
Уйле вакъытында;В полдень
Уйле авгъанда;После обеда
Акъшам;Вечером
Акъшамлыкъ;Ужин
Акъшамлыкъ аш;Ужин
Гедже;Ночью
Яры гедже;Полночь
Гедженинъ дер вакъытында;В полночь
Бутюн гедже;Целую ночь
Кеч мааль;Поздно
Кеч олды;Поздно
Эрте мааль;Рано
Мен вакъытында кельдим;Я пришёл вовремя
О кечикти;Он опоздал
О кеч къалды;Он опоздал
Мен кеч къалаятам;Я опаздываю
Мен кечикем;Я опаздываю
Сиз эрте кельдинъиз;Вы пришли рано
Мулет;Срок
Бугунь афтанынъ анги куню?;Какой сегодня день недели?
Бугунь базар эртеси;Сегодня понедельник
Салы;Вторник
Чаршенбе;Среда
Джумаакъшамы: першенбе;Четверг
Джума;Пятница
Джумаэртеси;Суббота
Базар;Воскресенье
Базар – раатлыкъ куню;Воскресенье – день отдыха
Бугунь мартнынъ секизи;Сегодня восьмое марта
Бугунь иш куню;Сегодня рабочий день
Тезден наврез байрамы оладжакъ;Скоро праздник навреза
Бу афта ичинде;В течение этой недели
Кечкен афтада;На той неделе
Кечкен афтада;На прошлой неделе
Келеджек афтада;На следующей неделе
Бир афта эвельси;Неделю тому назад
Январь;Январь
Февраль;Февраль
Март;Март
Апрель;Апрель
Июль;Июль
Август;Август
Октябрь;Октябрь
Ноябрь;Ноябрь
Декабрь;Декабрь
Бир айдан сонъ;Через месяц
Бир бучукъ ай;Полтора месяца
Бир ай ичинде;В течение месяца
Кечкен айда;В прошлом месяце
Келеджек айда;В будущем месяце
Йылнынъ биринджи ярысы;Первое полугодие
Йылдёкюми;Годовщина
Юз йыллыкъ;Век
Юз йыллыкъ;Столетие
Асыр;Столетие
Бутюн йыл;Целый год
Улу октябрь социалист революциясы байрамы арфесинде;Накануне праздника великой октябрьской социалистической революции
Янъы йыл;Новый год
Янъы йылбаш;Новый год
Кечкен йыл;Прошлый год
Эр йыл;Ежегодно
Йыл девамында;В течение года
Бир йылдан сонъ;Через год
Бинъ докъуз юз сексен докъузынджы йылда;В тысяча девятьсот восемьдесят девятом году
Бинъ докъуз юз сексен докъузынджы сенеде;В тысяча девятьсот восемьдесят девятом году
Бир къач йыл эвельси;Несколько лет тому назад
Бир къач сене эвельси;Несколько лет тому назад
Къач йыл эвельси?;Сколько лет тому назад?
Къач сене эвельси?;Сколько лет тому назад?
О къачынджы сенеси олгъан эди?;В каком году это было?
Йыл-йылдан;Год от года
Йылдан-йылгъа;Год от года
Кунь-куньден;День за днём
Куньден-куньге;День за днём
Джумерт кузь;Щедрая осень
Серт къыш;Суровая зима
Илянлар;Объявления
Вывескалар;Вывески
Суаллер ве джеваплар;Вопросы и ответы
Справкалар бюросы;Справочное бюро
Илян;Объявление
Токъталсын!;Стоп!
Автомобильден мукъайт олунъыз!;Берегись автомобиля!
Автомобильден сакът олунъыз!;Берегись автомобиля!
Поезддан мукъайт олунъыз!;Берегись поезда!
Поезддан сакът олунъыз!;Берегись поезда!
Автобус токътагъан ер;Остановка автобуса
Троллейбус токътагъан ер;Остановка троллейбуса
Трамвай токътагъан ер;Остановка трамвая
Такси токътагъан ер;Стоянка такси
Санаат сарайы;Дворец искусств
Кирюв;Вход
Чыкъув;Выход
Запас чыкъув ери;Запасный выход
Кирмек мумкюн дегиль;Входа нет
Чыкъмакъ мумкюн дегиль;Выхода нет
Кирюв ясакътыр;Вход воспрещён
Тютюн ичильмесин!;Не курить!
Китапхане;Библиотека
Телеграф;Телеграф
Шеэрлерара телефон;Междугородний телефон
Автомат телефон;Телефон – автомат
Эманет кассасы;Сберегательная касса
Амам;Баня
Ички ишлер идареси;Управление внутренных дел
Халкъ депутатларынынъ шеэр совети;Городской совет народных депутатов
Турмуш хызмети бюросы;Бюро службы быта
Чайхане;Чайная
Кафе;Кафе
Миллий ашлар ашханеси;Столовая национальных блюд
Мейва ве емишлер;Фрукты и овощи
Чечеклер;Цветы
Аэрофлотнынъ меркезий шеэр кассасы;Центральная городская касса аэрофлота
Цум - меркезий универсаль тюкян;Цум - центральный универсальный магазин
Ашайт маллары;Продтовары
Озь-озюне хызмет этюв тюкяны;Магазин самообслуживания
Чалгъы алетлери;Музыкальные инструменты
Спорт маллары;Спорттовары
Китаплар;Книги
Никях сарайы;Дворец бракосочетания
Медениет сарайы;Дворец культуры
Бу, шеэрнинъ баш проспектими?;Это главный проспект города?
Э, бу, шеэрнинъ баш проспекти;Да, эта главный проспект города
Онынъ ады не?;Как он называется?
Бу ерде не язылгъан, риджа этем;Что здесь написано, переведите
Терджиме этсенъиз;Пожалуйста
